portfolio_id,new_portfolio_id
85b01267-3580-4f6a-91ee-a994c85a6c64,ebf616b2-208d-48ed-a3d7-9c834ec5cc18
c144be45-4855-4545-a134-026f98cf65f2,9ab34d72-30b6-4291-804e-8318ed709f83
91c7621f-c305-4f99-bb0c-8e7da7dcda89,b84a1fea-8e32-4deb-8974-5b801b3755c4
8c522501-fc71-4745-87a7-49db4af6cab5,c1a7c18f-9d35-49cb-bd95-7076db68829d
4bbb2ee6-7a46-4984-b6c3-3586e0b46fb9,14aac491-df15-4ff4-8317-df748af6c46b
cfabdabc-f444-4611-b079-5c5e7dcf292c,f1cb701d-7dcc-4aac-b3ce-946cefe26605
61d1b3ad-db70-4ae3-a880-1f8736774d95,008ff3db-c637-4818-a456-43147c8d8d32
df5c0ad3-6ff7-4c79-876c-62dce63dcc9f,df96d0e5-3c62-4233-acce-77da64c4f96d
7c84a10e-d7ef-426f-874d-5569bd3f67be,8591296c-ab6e-4e26-a712-28dd6a56dad7
7828508f-4fe3-44d9-ad83-f30e1627baed,223d1490-aecf-4ad9-a0f5-163e3a990447
ec326ae5-a83b-4f98-ae25-9d58feabf20c,16d806fe-406e-476b-bb8b-fb45969d818b
58d998fc-90be-4295-ada2-ae6c92848d47,d219b74f-1315-42d8-af05-9cead42ec3f9
70741205-ac12-4c66-87e1-76fd164b61b8,9219053a-60a4-468b-be60-e6d1e591f69c
01dfa425-746b-4bd4-807b-08f5da576b8c,cca06c9d-78f0-4410-8ccd-682993297d04
ef756901-f1f7-42b0-9024-fa600ef697b9,c6ea1ad4-1f6b-43b4-8275-b6290d10cbb1
114a51a6-bafd-4c42-bf3f-7f03264b1068,bc73f308-55ee-4995-814a-1f7b754b416c
637021d8-9d5b-41a0-a10c-59495b3f369c,d891ec5e-b332-4bdd-b171-ab0af538c3cb
0fa454b9-2083-41e9-8f5e-5f7d5cca7144,86956c4b-5cb4-4b05-bd28-ddd310610233
2b3b16a2-a041-4dc2-8964-7df3459e2b3c,f0ed1559-d164-420f-9144-49b7d0b4a6b9
2c741fcc-b12c-4312-b244-96ec6a41a076,06a60123-1362-4c5f-be2f-8bc57b3ba643
4bd57a64-0a5e-400d-b335-5cb67e868bd1,8f31311e-fdbd-475d-8a80-4f9fa9df8135
630d6698-d87c-4851-b1cf-3b6403b2b9b1,40022414-0f1b-432d-b9b9-0ec036c89175
c6ab748d-b784-4d52-983e-1d52fadabb2d,ea704af6-ea32-4054-b3c2-7a9d16a099ed
2ba3f2af-73f6-474d-93f4-041f6db079ed,905817b0-e791-42e4-9c23-655101d88667
426f8e3a-ed08-4633-9716-d405c5fd7c26,1d314d5f-964a-4b0c-a22d-6d9d33ad5f44
b0964deb-a567-4cf4-bed8-842b64205e7e,f9e317c6-5c07-4030-b3b8-553c81a461d0
5f70bfe3-1682-4e33-b958-e7dd6f49e314,542efe55-7ad6-4e57-827a-94dad1d40e00
34eea2d4-4fb8-48e8-9291-baa95bdd6fa6,9709db63-539b-47aa-a412-0b26a20334d2
cdd951b9-20af-478b-8ef8-35d9fdb563b1,886f456a-beda-4540-bce8-dc32dbd9f774
a88a2b6b-c517-4148-830e-d7ae44aea358,11701ddc-2b38-49e8-b6b5-ce518593bfcd
3fde0974-154e-41e0-94f4-7389ada7f256,b747f7ad-57d0-4328-8c4e-2423b2a7bc77
232bf1cc-cf7f-473e-ab5e-efa95a60ddf8,52e50fb7-8813-42ee-816b-2c6799e32755
ff38d8fe-1a60-476a-8a52-49d1ea595a37,4cfaae99-f556-4228-8514-0c83b9fd1b28
77359019-2540-4374-8753-5380024fbec6,d55ac02a-ae15-4bc3-b62c-209361d655d5
dee6b489-a8f8-4313-881c-1cdb841f48e3,0c5a9e62-66ef-400f-b536-d6222e743288
aba73faa-f8a0-45e9-bb4a-f1e639d24867,909d1a31-1c2e-4322-97cd-3f11681cc4d8
ddf468e0-d4be-4edf-9f60-c0f630d05710,5eaf9a83-f2ef-4050-b6a5-17de730ae4e3
beddc272-6d7a-4695-b8b1-d1a4ebbaa2f2,701a0b24-5f08-4794-aef2-81cc317715ea
980f6825-28ea-42d4-9de5-0c98147ef434,d722e66a-5e1a-4858-a1ae-ab2f42b0a49e
a6e5a603-99ab-42ee-85a4-2cdc7b06159c,06c993a0-2623-4ead-a6c2-d25ba4aa55fd
e8ccd5db-be01-4007-94c5-da4cacdef87d,4d42edfb-d591-43b6-bab8-9a4b1a851b72
6de6ad4e-0932-4577-acb9-520500bf012e,ed45dc93-7865-41fb-8486-9df5c7ee4352
c3620e0b-c75d-4d99-af65-dcba72cde0df,a2ac1d85-35de-4a60-b1d0-b2b66433c13f
6251e48f-3955-49ac-9252-eedb6c255780,11def7b4-9e80-4faf-9f0d-91acc8b0c8fd
9e12ec93-9761-47d9-b09c-cc2f64323433,f45b7706-c239-43c2-b088-6e4c6ffaf00f
689cf315-bb28-4d39-afda-ac4d88c5e7a2,5bda9f72-842b-42ce-bc1a-a9bad3bb870e
688c34fa-e0f1-42f0-90fe-cffa4a8c7466,389aef24-a489-42b1-b088-39330418acf7
b7b60add-b495-4497-bd83-8db66466e814,7d07b8e8-433d-47f9-9d18-f0e307abd5a8
a7632af4-084c-4633-a9a2-402b84cd7b71,c9786591-bcec-418c-a20e-9136d53d13d6
c6a44dd3-1cb2-4a86-b756-9daa9c094a4f,a175c736-5a2b-44ce-a52e-437e427d23cb
0c5a55f5-e77a-4c86-be8e-21f2036d7278,6594450f-7b36-4424-93a0-efc2f01540c6
0da91405-fdfa-4256-b652-5ce56a6ceafb,45db4c94-e494-4c3d-abad-28baded637fc
70609d3b-d537-471e-bbaf-d13b029072d8,c03b9162-579a-467a-b564-1bddbc4f0115
fdb7f6e3-088d-4148-bf49-988fd1fe7adb,53a4b57c-a9a5-45b1-ba70-dd6d20a0d0d4
72766689-479f-46fb-80bb-6c71219ebe66,c2c3b502-0d7f-4692-9329-79cd1166589c
165af8a4-4317-4d6f-9e4e-13319f0d259c,347e5b7a-41a0-4601-a2ae-c4f5b3bfc451
55c5d0f8-d0f9-4ad9-b5f1-8ac4bb627713,c1c04555-1953-4b46-879e-adddb9ec37b9
64287e40-26f3-4b26-b43b-3ae0a93f8087,75910561-8174-42a8-903c-f4609084c744
7ee89a3c-6dc7-4b13-a97e-3922a0be99b1,3f146957-8a43-40a8-b14e-f338923143c1
55c0c9b2-285c-4826-a869-5a5d0764436b,2a2b4f04-de75-495b-afdd-2ec52a712d0a
592ab63b-acdb-4bd1-af87-1db7d943bd70,a1a16aee-71b4-4a06-9f99-4de2be692c3b
98d7b634-6e45-44e2-8ead-d9bdfef17ab7,3688fb2d-9312-44b9-b9d1-9d9df2eb8224
cf6ab13d-70d7-4d62-ab3d-54dd80739c42,a38dda02-8463-43d8-9b1b-7e893c4f9769
9e6acccc-8aad-4efa-b338-9f6627ff66b4,8b5a8140-0583-4dd7-8b50-c22f7211461a
2c0b8e85-0cf7-48bb-8b94-f2be23303191,ccb49f74-aae6-4b06-98aa-e23bb42c4611
819fb153-fb40-4e0f-999e-ccfedfa3bc31,420aa517-7904-4113-b60a-71b03c7a18be
d952e39e-35ec-4255-94e0-53d166a41492,30a8cba4-09f8-4b97-aed9-4b2b4d984847
3763bc9e-1aa4-4d14-87b4-c9567ba494b0,70578cdb-3118-4311-9168-83acb2726f7a
154e384a-867a-4956-b64d-b48da6713bb4,fe665d84-fb30-43d1-9cff-dcc763b05dda
2f19d821-026d-4eb7-bd17-62a63c4e43c0,638e40b4-b064-4281-a45d-98752af48029
2a31e903-927c-4ae2-a8d9-c14d847565bd,46c047e3-a214-4d8f-af2c-ddeef2a5ef40
8d78029e-595c-4841-aec1-4f157a351603,fc2c1d96-ad21-494f-9e8a-9c3a4df5fb02
1f54316d-9eee-44ac-974f-6a0783089910,7f352661-bc62-4dcd-a694-552d72c5e555
69d5e31d-8d0a-4fd4-a669-5d9ca23c4381,e2fc5d56-7cb3-48ed-a5da-beda3fe5469e
3d6ccd45-6df2-4e45-88c3-90ac8942afb3,737d7082-c9c3-4766-b94e-5dd7de8587e5
4f65a897-7b40-410f-8c62-09ddba812b16,53052d9b-7851-42f9-acd0-365501f42eba
5d9dc054-2343-4769-80fe-194ed5220467,6a1f5841-f1de-4f26-a752-e90ff4acd7da
