portfolio_id,documents,new_portfolio_id
6c260e5f-f28e-4008-af6b-e4b24d7a8b88,1,573f07bf-2156-49d9-977f-ea2a0d78d234
619c9a2c-cc39-4fdf-b671-eeb80884c453,1,0865396e-86a3-4855-9b6b-882b3b4af347
fde48e6d-e46c-4162-9670-b3a977d7a729,1,65f55f57-eb34-400c-bdc4-f917c401d79c
5e60d066-36db-4893-a29b-e9a9a68cf8a4,1,ad5394dc-a3d2-4306-864a-1b08cf84d2fc
e4a1a9de-0bd9-4e57-8e95-9fc92501c8b1,1,1462f56f-ba6b-4c3a-a7b3-0bac63f5fd9b
5005fe30-f0f1-4b53-9c4a-f2419037fc43,1,204034c9-a15b-4a2b-8e20-405d085ac4e3
c43d7a9f-84db-4426-8f06-941a2447076d,1,e893d686-14d6-4344-bbbd-66ef1eed2773
12736735-a497-473d-8dd3-6bae29d5eb8b,1,cf915563-2cc5-468f-a303-27c110c8c49c
6c2f0072-9e02-4e58-9c46-ef5225308962,1,77157f08-43d7-4f32-a8d6-60c207cf0b46
d1b259d2-2c4e-4246-a270-5b0ba408026d,2,650ca6e7-f8de-4db1-b96d-d8f35a0b0428
e8b8e222-91fd-46d3-831f-a0bc064c938a,1,bf0b07f3-f1a9-4edd-ab08-24091f341938
955e91ea-04c5-4ee9-b8e6-09c7ac7e35d0,1,e6ed7516-736d-41ba-aad3-d177a1ecf126
461e9e2b-82b7-433c-93fa-5cd453cef85a,1,4c72029f-f784-449c-9f9f-72456801559b
d957495c-8312-42a2-8c35-c9122534aa75,1,6d0143b1-6185-432d-b04b-353a2a8fb188
00a613d7-e227-46a3-934e-1ecae19e01ad,1,ad3e5f14-ad5c-491b-b5aa-714c49fca782
6985a161-c0f2-4112-92a1-b38eb1736a14,1,1686c4fc-a91d-4b7f-a0c1-2e00e90b64da
0e9097c0-2936-4822-81d0-5232035e0ab6,1,ef16e402-032d-4825-ac10-956e14d50dc9
37de61d8-dbf8-49fc-bdee-ea3004480beb,1,f9525837-b84f-42f2-b281-ca8530a05642
966803dc-a07a-481a-8a56-544857d24ebb,1,70931106-43a3-4e38-bdf2-2c669a0acfa6
034ae374-bba0-45fa-a80f-f4e6a06cc5af,2,b45b7ad0-0170-4b0a-b08e-cdc342d65b6f
2f7dbabb-5dad-426e-8658-3b118c0fdc6d,1,f0e80a3f-e8d4-48bd-a89b-fd98a4dfedec
57792e70-215f-4fef-9bc3-e44a2187886a,1,984a30bf-adb7-4595-8552-71621dd3a72e
aa526b6e-c402-44e9-ba59-1c1fa15a4d38,1,02541cc3-3b01-47af-bbe1-9eff8d23502e
c91a735a-de31-4a85-b2e5-584a98dd6159,1,13d1d145-0b0b-40ea-96ca-47418c114787
43e71cfa-5026-43f3-9d26-e7c6e95289b9,1,d3f14d65-8e9e-46b7-baa7-66deb72ba597
e647e0e2-e5fe-4c00-935b-ace92554e737,1,a5b63416-fe2f-4a99-b194-22488bc5130d
aed1ef55-9051-4621-9154-880a06268f51,1,021795ed-b189-4831-bb50-1c14f615ebab
9de577f5-82bb-4434-9204-a00eb6f70272,1,6eb59545-fc60-45e3-b495-9d2c2534b501
80ac88e9-5f05-4256-b97a-cc5541e1ea47,1,01a78d79-87ce-4b1d-bb8c-00f2f28669ec
7802b822-c502-40e5-9e5e-69498a6b42bb,1,f9ed8952-e441-4136-aa4a-d40d779d0bcb
a86c0136-0257-41b3-bdbc-ab194f6114bf,1,81b9313c-0bde-4c70-8128-ad76dba264e9
559e92fb-d833-4707-aa88-95a34084a039,1,89c4dbee-ba66-43d5-9879-99dbed4e794d
c464e15d-f586-4c5a-b1fd-8fb6fc8d133b,1,3721a2c0-b993-4119-ab23-8f0a72519319
35ceab1f-40fb-4465-a8a6-35fd72a00e1f,1,f9a1f7b0-a446-45fc-bced-72a0d57a5d01
f8d6f398-0f1c-4b63-b090-7843ef5523bb,1,316417d9-b1f9-4617-81a0-d58d4ae13c9e
f4cfaf25-f94b-43e7-a6d9-2d3e815d5a86,1,89cbcf2b-c795-4587-8b1d-18af41fcf5ea
0c3575e6-8aeb-41a6-9574-be7b48a0b68f,1,d5132727-c29a-4bef-96a9-88c65dad39d0
31e058cf-6841-4cd8-9880-f77dfad3bad2,1,82f33c43-3b91-47bc-bd0f-9f8d3f75b552
b0ba3a34-a0ce-4e41-b5d1-4200c4ea5abb,1,d9dae5ad-ccac-4402-a37e-b21e306dc0ef
79421738-fd38-45fe-ad11-42f78e2a8886,1,ab199817-2702-47ed-84f8-6617e3299721
490b1fcf-516b-47c8-9c24-3bc23f1a76cd,1,a9d89f88-a4f8-41fe-aca5-5f920c3a9a67
c8d05e3f-565c-4ac7-85da-c1f545e46424,1,0c265c83-90a9-421e-bb9a-dcc4ff65edb3
ef7f4bc6-5918-4613-9363-7cdc4583549f,1,7c17a90b-ed24-4601-a2f2-7ba8f07980f2
9b414381-806b-45b8-93b0-4140164da6ff,1,5a780dd1-88fc-48d4-89a0-eab5a078f8ee
6ade4a30-1c76-4dba-9de4-9247a4debec8,1,778b9ba6-e544-40df-8537-dae273873f86
c782b084-d7b9-45a7-9fb0-98527817b2d4,1,d10c4cf5-47fa-4860-9174-29e25f6de5fb
e2b62715-4638-49b3-bece-b3d82e8fb2f1,1,4cd98940-f327-4f64-a119-8ea008ea8b1b
8a00a848-6bfe-4ec0-ac78-63cab46b6d6b,1,1b559c4d-403a-4508-9b94-3a7e7cd5ed89
dbc44dd0-bb53-425c-b836-ff69cb5662bc,1,fa681628-7929-4de7-9212-dc74c2dcc148
93cb9461-7de1-4ca4-a6ae-a370ef09c2c4,1,76e3f224-e287-4da4-99a9-16c5cc0f173a
c5115033-fee6-4374-9edf-343b6656e8fb,1,3d76ac84-2248-41bc-8bcb-9ffa5b3e7361
cb16a90c-d0b0-444c-91b9-f171fc5e6cd7,1,1452663d-d4de-4479-954c-f018b7a2f62b
3040ebe5-f237-4b42-9b06-447835e72f02,1,eeaad2ce-6505-48c5-90ad-c3c613477824
ee0cddc7-3e54-4bc9-9afb-6932af76085d,1,af890513-b5a5-4991-98d3-5675a2a58e74
bd68d5dc-0138-45d0-b69f-a7a01108e5a5,1,03c72102-a34b-42a8-b873-2b74a324c710
b5fc4a9d-c5f6-474c-8ae7-7a7f5ba21fc2,1,952f8ba8-1dfb-47a6-8805-f75c8623fc7b
637021d8-9d5b-41a0-a10c-59495b3f369c,1,e726765c-47bd-4938-a009-710b9ccc22a6
41097d14-7358-4596-95a6-0bc4e2acc740,2,aa7f0335-5b89-498b-b264-0f689f54e6ea
02477e42-671a-49f3-b44d-74a1e69b76f1,1,4d0fd00f-7272-4181-a8c6-8d1727aed3e2
0d43dfa2-e09d-441f-9e3f-b2fce2de29f4,1,0e24c946-e85f-4ef0-b031-a2cd163fc332
b369878f-1aa4-4106-9193-f18d39fadf9a,1,f5f39b65-04ae-45ae-8176-29d3b31e4d3d
fd1b3471-a224-4798-be3d-81b48b6a77fc,1,21a81e70-9077-4ffd-bfec-5211522b6e9d
79a9ea14-4139-4f3f-8d11-5e7aae89c893,1,aa9461c2-54bc-422f-b330-39019ada3049
931ac7e3-f380-428e-8523-56da19f5bf95,1,f796cdf0-a422-4655-9374-3fb99a3ab9b0
ab965aad-ea6b-4201-b445-137e28cec0bb,1,576edd50-43a0-4912-91e8-6087765182bd
8ad5628f-5cd5-47a4-beb9-ca1c080fdb57,1,45fd1638-55e9-49ad-a36f-d1283800f515
1a288670-f5e6-49dc-b2e8-af860a67fe0c,1,090c92ac-c9f1-40f5-b43d-47ca3509a8bb
efbfdd88-1881-495d-a5d2-2a98d399a37d,2,27ec7c13-13a6-4507-ae43-fc21aa6a487e
6e5f4ab3-9a80-4a6c-8a1d-07cc319e9f0e,1,858c5de4-993f-4ae0-bc21-c6bd7554f89b
68c22203-ce65-4788-b255-bb385352ce54,2,fb9fc6bb-ccd2-4177-af07-910316189da3
1a047864-498a-4cac-a045-d35200cce8d9,1,6206a5a5-d3b4-4b74-b2ae-819c3818ff6c
0081cf74-ab6b-4b89-aa4c-8b495ac24028,1,06633b1f-2eeb-4f64-bb88-8538e8802bd0
38818c0f-788c-47c9-b8de-b4cf9a3d3e26,1,8894e319-f502-46ce-a5c0-1eba814c32e9
0c1938f8-5b70-442e-8db2-f3efd90e6bce,1,d3db98f3-99b1-4866-8fe5-cd4dbbefa5e8
edba5315-55f3-44da-b45f-f5ca352b38a1,1,4959377a-9ff2-4f68-bdd4-6bdf62357ecf
8030cd98-79ae-4388-a0f5-47629b6c04f9,1,0cec9add-05d0-46d6-8680-12b2432f0c6a
dee9fbbe-878b-4a0e-8e1b-4e2db28514e4,1,829eae64-306f-43c5-bc37-994096434aef
0ba000d3-3862-4106-8e8d-5a970dbedfb5,1,aa7cbb60-a4c4-4398-905f-b342b743b427
e47ebe46-3c63-4a95-9c45-87b766602b3b,1,d9178fa1-c7a3-4b5c-8f78-91a8ca03f794
1c3a5992-87e4-4bc4-93ff-957a627f171c,1,57e19eaf-7c12-4395-a52e-ac70f307e994
037ca8ff-511f-4c85-aa1e-ef2e2b861a7a,1,096cd4be-7eec-4893-9af7-42d6bc5954a0
9ef44486-3ae6-4c7a-8bcc-69c3c6f41627,1,2d0d57ab-68de-48df-a7bb-690af9e66ea4
b3d7ad9e-5688-4cfe-8e0c-19f416cf827e,1,9d20ba4a-4a12-4a9d-94c8-97ed8b8b677a
232bf1cc-cf7f-473e-ab5e-efa95a60ddf8,1,879d51b7-817c-4330-8a01-442e24caa344
d77feed9-4871-41ec-97eb-49d1ea75bd23,1,22494db9-ba14-4b56-9125-040da2c1ba1a
a70fa368-56f4-4cc7-bec5-14714a076ae4,1,918e15a5-098f-428a-ae43-ebdc634bb8e5
ae6ea2fb-e457-4668-8304-5d2b28b314d7,1,4cf9c2b1-7383-4c88-ac46-f23a1c998ffe
57870557-ef45-444b-b75a-443ea7bdb4ff,1,b7bb97b0-93ab-4a30-9eff-554453951052
8b73e73f-2780-4152-a4eb-17438eb236c5,1,e2d6dbd5-7868-4566-ad4e-a438ca48e2b1
60a39df1-45df-41d9-aa9f-1321392423fb,1,ea74766a-6bb4-4828-a3f3-19b326b09886
28e3b32f-6d45-4213-9722-9b98779caa06,1,5558bcb6-2e0a-4f90-ad59-9a01289c337f
c30e80a3-830a-481f-9543-c839254db21b,1,d547b0f5-fd2f-4728-8acc-d9daddc2785e
1dcefa78-f5f4-40e6-ac1c-4db3f6a864b7,1,10d22839-e1bc-44a4-9733-cf4cf778f26f
99620639-7ca5-4783-9727-1a5f49d1bd34,1,df4e59f9-c2ad-44c1-b12a-9eab75914760
c7caa74c-ada4-4b4f-8605-ae2587702d38,1,accf99e4-6223-4212-adfc-83e8a7311b0a
4b86f2c0-c4b7-4d89-8772-dc44ee087c3b,1,d64a41e1-26ab-4547-ab74-55e3e97778fe
27c4acff-4714-4481-8814-acabdac1e8a9,1,e94f25aa-bb87-465a-be9c-9eab40a68b42
85b01267-3580-4f6a-91ee-a994c85a6c64,1,889dfcda-659c-4b05-ae77-656de27db95f
0660d914-0831-4e39-805e-e88fe32615b6,1,74409d0c-337b-47db-835b-803b34199760
8d16da29-739b-4e70-8c4b-415b0a60ed09,1,a22ceca4-5399-454e-8c60-b97c5ab1dc3c
b1488f53-5fc4-4cce-95e7-518591c40497,1,f0f4a4ed-99b8-4c9c-834b-c5bf7e797f5a
50aacb0f-aa2b-4003-8134-5a419bb51340,1,e51ade9d-0807-4582-94ff-52212d8d6756
b02b6a74-d238-418f-8b1e-f665021ed721,1,c943daa1-be2c-4ec9-8b17-5bca7a73571c
39eddd53-c2f0-439e-ba1b-50ee3d11d426,1,b90f2a6d-c6b2-4791-91fc-d63c205dde6c
d9a37fe8-7f5b-4db1-93a7-871c6e1cf33f,1,226027cd-417c-4eb4-8268-386ee9d3963f
89eb003b-f5fe-4fb3-b109-ef7762db868d,1,0f3aa0f1-ea69-4e00-be01-877404a20c59
d0a91c4e-e587-4d6e-b100-06002b095ec3,1,dd37faf7-59d2-4e97-93a8-98198154ab75
b8fb29e0-544f-43d4-b75a-096edb4df4d5,1,b2379a3e-d102-4820-beb0-b110a249d7a1
05181129-1bea-4a7e-9aef-9df99cd0c31e,1,252f0832-79de-49a6-b28a-c1c4bfc2c2fb
898b206e-e9fb-4b92-ab78-fcbd85e0e5ce,1,32df6924-5d92-4401-88ba-ec71e7bde8a3
555ac73b-b2fb-473f-880d-6d7da44e8596,2,77dc909d-5d07-4208-881c-a4ecb6fc4b8c
7dce82f3-ec21-4cc3-9137-354e4fdf9098,1,abecef1e-63ed-4218-87a4-5b5be64e0160
881bfd52-1721-41a9-b589-7211b706d210,1,97071e65-5705-4cb2-8c03-3a0f492109a1
